


Id	Name	GeneId	raw P-value	FDR
GO:0004842	ubiquitin-protein transferase activity	RNF19B	8.02E-01	1.0
GO:0004842	ubiquitin-protein transferase activity	UBE2L6	8.02E-01	1.0
GO:0036094	small molecule binding	PTAFR	1.00E00	1.0
GO:0036094	small molecule binding	MMACHC	1.00E00	1.0
GO:0036094	small molecule binding	SLC19A1	1.00E00	1.0
GO:0036094	small molecule binding	SHANK2	1.00E00	1.0
GO:0016887	ATPase activity	ABCC1	1.00E00	1.0
GO:0016887	ATPase activity	BRIP1	1.00E00	1.0
GO:0016887	ATPase activity	ATP8B2	1.00E00	1.0
GO:0016887	ATPase activity	KIF3C	1.00E00	1.0
GO:0048018	receptor ligand activity	CSF1	2.41E-01	1.0
GO:0048018	receptor ligand activity	GDF15	2.41E-01	1.0
GO:0048018	receptor ligand activity	NEU1	2.41E-01	1.0
GO:0048018	receptor ligand activity	LIF	2.41E-01	1.0
GO:0048018	receptor ligand activity	BMP7	2.41E-01	1.0
GO:0048018	receptor ligand activity	LEMD1	2.41E-01	1.0
GO:0048018	receptor ligand activity	TMPO	2.41E-01	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	JUN	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	EGR3	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ELF3	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ZMYM3	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	E2F2	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	SOX9	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	PATZ1	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	KLF3	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ZNF367	3.28E-02	1.0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	SOX4	3.28E-02	1.0
GO:0042578	phosphoric ester hydrolase activity	PLPP5	2.49E-01	1.0
GO:0042578	phosphoric ester hydrolase activity	TIMM50	2.49E-01	1.0
GO:0046872	metal ion binding	TET1	2.51E-01	1.0
GO:0046872	metal ion binding	LTBP1	2.51E-01	1.0
GO:0030545	receptor regulator activity	CSF1	1.80E-01	1.0
GO:0030545	receptor regulator activity	GDF15	1.80E-01	1.0
GO:0030545	receptor regulator activity	NEU1	1.80E-01	1.0
GO:0030545	receptor regulator activity	LIF	1.80E-01	1.0
GO:0030545	receptor regulator activity	HBP1	1.80E-01	1.0
GO:0030545	receptor regulator activity	BMP7	1.80E-01	1.0
GO:0030545	receptor regulator activity	LEMD1	1.80E-01	1.0
GO:0030545	receptor regulator activity	TMPO	1.80E-01	1.0
GO:0019787	ubiquitin-like protein transferase activity	UHRF1	4.97E-01	1.0
GO:0019787	ubiquitin-like protein transferase activity	RNF19B	4.97E-01	1.0
GO:0019787	ubiquitin-like protein transferase activity	UBE2L6	4.97E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	KDM3A	2.78E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	JUN	2.78E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	DBP	2.78E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	MAFF	2.78E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	CREB3L2	2.78E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	FOS	2.78E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	PATZ1	2.78E-01	1.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	KLF3	2.78E-01	1.0
GO:0008092	cytoskeletal protein binding	CEP57	6.74E-01	1.0
GO:0008092	cytoskeletal protein binding	GSN	6.74E-01	1.0
GO:0008092	cytoskeletal protein binding	SYNPO2	6.74E-01	1.0
GO:0008092	cytoskeletal protein binding	RITA1	6.74E-01	1.0
GO:0008092	cytoskeletal protein binding	TUBGCP3	6.74E-01	1.0
GO:0008092	cytoskeletal protein binding	KIF3C	6.74E-01	1.0
GO:0008092	cytoskeletal protein binding	EML2	6.74E-01	1.0
GO:0004674	protein serine/threonine kinase activity	PLK3	4.11E-01	1.0
GO:0004674	protein serine/threonine kinase activity	LATS2	4.11E-01	1.0
GO:0004674	protein serine/threonine kinase activity	GADD45B	4.11E-01	1.0
GO:0004674	protein serine/threonine kinase activity	CCNE2	4.11E-01	1.0
GO:0004674	protein serine/threonine kinase activity	CCNG2	4.11E-01	1.0
GO:0004674	protein serine/threonine kinase activity	PIM1	4.11E-01	1.0
GO:0004674	protein serine/threonine kinase activity	NEK2	4.11E-01	1.0
GO:0004674	protein serine/threonine kinase activity	PRPF4B	4.11E-01	1.0
GO:0043169	cation binding	TET1	5.36E-01	1.0
GO:0043169	cation binding	SAT2	5.36E-01	1.0
GO:0043169	cation binding	LTBP1	5.36E-01	1.0
GO:0043169	cation binding	SAT1	5.36E-01	1.0
GO:0003924	GTPase activity	EFTUD2	4.24E-01	1.0
GO:0003924	GTPase activity	RAB30	4.24E-01	1.0
GO:0003924	GTPase activity	RGS16	4.24E-01	1.0
GO:0003924	GTPase activity	TBC1D2B	4.24E-01	1.0
GO:0044212	transcription regulatory region DNA binding	KDM3A	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	JUN	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	DBP	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	MAFF	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	CREB3L2	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	ARID5B	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	FOS	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	PATZ1	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	KLF3	1.69E-01	1.0
GO:0044212	transcription regulatory region DNA binding	TRERF1	1.69E-01	1.0
GO:0022890	inorganic cation transmembrane transporter activity	P2RX4	1.71E-01	1.0
GO:0022890	inorganic cation transmembrane transporter activity	FXYD3	1.71E-01	1.0
GO:0022890	inorganic cation transmembrane transporter activity	SHANK2	1.71E-01	1.0
GO:0008324	cation transmembrane transporter activity	P2RX4	2.60E-01	1.0
GO:0008324	cation transmembrane transporter activity	FXYD3	2.60E-01	1.0
GO:0008324	cation transmembrane transporter activity	SFXN2	2.60E-01	1.0
GO:0008324	cation transmembrane transporter activity	SHANK2	2.60E-01	1.0
GO:0005198	structural molecule activity	LIMA1	3.69E-01	1.0
GO:0005198	structural molecule activity	MYO1E	3.69E-01	1.0
GO:0005198	structural molecule activity	GSN	3.69E-01	1.0
GO:0005198	structural molecule activity	LTBP1	3.69E-01	1.0
GO:0005198	structural molecule activity	SHANK2	3.69E-01	1.0
GO:0070011	peptidase activity, acting on L-amino acid peptides	BACE2	5.92E-01	1.0
GO:0070011	peptidase activity, acting on L-amino acid peptides	CARD8	5.92E-01	1.0
GO:0070011	peptidase activity, acting on L-amino acid peptides	TIMP2	5.92E-01	1.0
GO:0070011	peptidase activity, acting on L-amino acid peptides	TIMP3	5.92E-01	1.0
GO:0070011	peptidase activity, acting on L-amino acid peptides	TPP1	5.92E-01	1.0
GO:0070011	peptidase activity, acting on L-amino acid peptides	PSEN1	5.92E-01	1.0
GO:0016491	oxidoreductase activity	TSTA3	2.99E-01	1.0
GO:0016491	oxidoreductase activity	SQLE	2.99E-01	1.0
GO:0016491	oxidoreductase activity	KDM1A	2.99E-01	1.0
GO:0016491	oxidoreductase activity	SMOX	2.99E-01	1.0
GO:0016491	oxidoreductase activity	CHDH	2.99E-01	1.0
GO:0016491	oxidoreductase activity	TET1	2.99E-01	1.0
GO:0016491	oxidoreductase activity	CYP4F22	2.99E-01	1.0
GO:0016491	oxidoreductase activity	PAM	2.99E-01	1.0
GO:0016491	oxidoreductase activity	MMACHC	2.99E-01	1.0
GO:0016491	oxidoreductase activity	ALDH7A1	2.99E-01	1.0
GO:0016491	oxidoreductase activity	HK1	2.99E-01	1.0
GO:0016491	oxidoreductase activity	DHODH	2.99E-01	1.0
GO:0016788	hydrolase activity, acting on ester bonds	TOE1	4.88E-01	1.0
GO:0016788	hydrolase activity, acting on ester bonds	LIMA1	4.88E-01	1.0
GO:0016788	hydrolase activity, acting on ester bonds	PLPP5	4.88E-01	1.0
GO:0016788	hydrolase activity, acting on ester bonds	HBP1	4.88E-01	1.0
GO:0016788	hydrolase activity, acting on ester bonds	GNS	4.88E-01	1.0
GO:0016788	hydrolase activity, acting on ester bonds	TIMM50	4.88E-01	1.0
GO:0008233	peptidase activity	BACE2	3.94E-01	1.0
GO:0008233	peptidase activity	CARD8	3.94E-01	1.0
GO:0008233	peptidase activity	TIMP2	3.94E-01	1.0
GO:0008233	peptidase activity	TIMP3	3.94E-01	1.0
GO:0008233	peptidase activity	TPP1	3.94E-01	1.0
GO:0008233	peptidase activity	PSEN1	3.94E-01	1.0
GO:0043167	ion binding	TET1	1.20E-01	1.0
GO:0043167	ion binding	SAT2	1.20E-01	1.0
GO:0043167	ion binding	LTBP1	1.20E-01	1.0
GO:0043167	ion binding	SAT1	1.20E-01	1.0
GO:0004672	protein kinase activity	PLK3	1.23E-01	1.0
GO:0004672	protein kinase activity	GADD45B	1.23E-01	1.0
GO:0004672	protein kinase activity	PRPF4B	1.23E-01	1.0
GO:0004672	protein kinase activity	IGF1R	1.23E-01	1.0
GO:0004672	protein kinase activity	WEE1	1.23E-01	1.0
GO:0004672	protein kinase activity	GPRC5A	1.23E-01	1.0
GO:0004672	protein kinase activity	LATS2	1.23E-01	1.0
GO:0004672	protein kinase activity	CCNE2	1.23E-01	1.0
GO:0004672	protein kinase activity	ERBB4	1.23E-01	1.0
GO:0004672	protein kinase activity	CCNG2	1.23E-01	1.0
GO:0004672	protein kinase activity	PIM1	1.23E-01	1.0
GO:0004672	protein kinase activity	PDK3	1.23E-01	1.0
GO:0004672	protein kinase activity	NEK2	1.23E-01	1.0
GO:0004672	protein kinase activity	EPHA2	1.23E-01	1.0
GO:0015075	ion transmembrane transporter activity	P2RX4	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	FXYD3	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	ARL6IP5	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	SLC16A6	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	SAT2	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	SFXN2	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	SAT1	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	SLC19A1	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	SLC16A14	5.01E-01	1.0
GO:0015075	ion transmembrane transporter activity	SHANK2	5.01E-01	1.0
GO:0003723	RNA binding	CYFIP2	6.70E-02	1.0
GO:0003723	RNA binding	TOE1	6.70E-02	1.0
GO:0003723	RNA binding	MEPCE	6.70E-02	1.0
GO:0003723	RNA binding	SRSF1	6.70E-02	1.0
GO:0003723	RNA binding	SAMD4A	6.70E-02	1.0
GO:0003723	RNA binding	LARP6	6.70E-02	1.0
GO:0003723	RNA binding	BYSL	6.70E-02	1.0
GO:0003723	RNA binding	EFTUD2	6.70E-02	1.0
GO:0003723	RNA binding	HNRNPDL	6.70E-02	1.0
GO:0003723	RNA binding	OAS3	6.70E-02	1.0
GO:0003723	RNA binding	TRA2A	6.70E-02	1.0
GO:0003723	RNA binding	HABP4	6.70E-02	1.0
GO:0003723	RNA binding	NOL12	6.70E-02	1.0
GO:0003723	RNA binding	EIF3B	6.70E-02	1.0
GO:0003723	RNA binding	CPEB4	6.70E-02	1.0
GO:0019899	enzyme binding	CARD8	2.53E-01	1.0
GO:0019899	enzyme binding	RNF19B	2.53E-01	1.0
GO:0019899	enzyme binding	UBE2L6	2.53E-01	1.0
GO:0019899	enzyme binding	TBC1D2B	2.53E-01	1.0
GO:0019899	enzyme binding	GPRC5A	2.53E-01	1.0
GO:0019899	enzyme binding	RAB11FIP1	2.53E-01	1.0
GO:0019899	enzyme binding	CCNE2	2.53E-01	1.0
GO:0019899	enzyme binding	CCNG2	2.53E-01	1.0
GO:0019899	enzyme binding	RAPGEF1	2.53E-01	1.0
GO:0019899	enzyme binding	TIMP2	2.53E-01	1.0
GO:0019899	enzyme binding	TIMP3	2.53E-01	1.0
GO:0019899	enzyme binding	HBP1	2.53E-01	1.0
GO:0019899	enzyme binding	KANSL1L	2.53E-01	1.0
GO:0030234	enzyme regulator activity	MYO1E	5.13E-01	1.0
GO:0030234	enzyme regulator activity	GPRC5A	5.13E-01	1.0
GO:0030234	enzyme regulator activity	CCNE2	5.13E-01	1.0
GO:0030234	enzyme regulator activity	CCNG2	5.13E-01	1.0
GO:0030234	enzyme regulator activity	RGS16	5.13E-01	1.0
GO:0030234	enzyme regulator activity	CARD8	5.13E-01	1.0
GO:0030234	enzyme regulator activity	RAPGEF1	5.13E-01	1.0
GO:0030234	enzyme regulator activity	TIMP2	5.13E-01	1.0
GO:0030234	enzyme regulator activity	TIMP3	5.13E-01	1.0
GO:0030234	enzyme regulator activity	PHACTR2	5.13E-01	1.0
GO:0030234	enzyme regulator activity	TBC1D2B	5.13E-01	1.0
GO:0030234	enzyme regulator activity	CHML	5.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	PLK3	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	GADD45B	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	PRPF4B	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	COASY	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	IGF1R	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	HK1	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	WEE1	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	GPRC5A	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	LATS2	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	CCNE2	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	ERBB4	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	CCNG2	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	PIM1	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	PDK3	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	NEK2	1.13E-01	1.0
GO:0016773	phosphotransferase activity, alcohol group as acceptor	EPHA2	1.13E-01	1.0
GO:0004930	G-protein coupled receptor activity	PTAFR	2.88E-04	0.14541275404068085
GO:0005102	signaling receptor binding	GDF15	4.42E-01	1.0
GO:0005102	signaling receptor binding	IRS1	4.42E-01	1.0
GO:0005102	signaling receptor binding	PTCH1	4.42E-01	1.0
GO:0005102	signaling receptor binding	LIF	4.42E-01	1.0
GO:0005102	signaling receptor binding	TNFSF9	4.42E-01	1.0
GO:0005102	signaling receptor binding	LTBP1	4.42E-01	1.0
GO:0005102	signaling receptor binding	BMP7	4.42E-01	1.0
GO:0005102	signaling receptor binding	SHANK2	4.42E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	EFTUD2	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	MYO1E	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	RAB30	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	ABCC1	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	BRIP1	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	ATP8B2	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	RGS16	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	TBC1D2B	5.48E-01	1.0
GO:0017111	nucleoside-triphosphatase activity	KIF3C	5.48E-01	1.0
GO:0016462	pyrophosphatase activity	EFTUD2	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	MYO1E	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	RAB30	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	ABCC1	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	BRIP1	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	ATP8B2	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	RGS16	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	TBC1D2B	4.61E-01	1.0
GO:0016462	pyrophosphatase activity	KIF3C	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	EFTUD2	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	MYO1E	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	RAB30	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	ABCC1	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	BRIP1	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	ATP8B2	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	RGS16	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	TBC1D2B	4.61E-01	1.0
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	KIF3C	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	EFTUD2	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	MYO1E	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	RAB30	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	ABCC1	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	BRIP1	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	ATP8B2	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	RGS16	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	TBC1D2B	4.61E-01	1.0
GO:0016817	hydrolase activity, acting on acid anhydrides	KIF3C	4.61E-01	1.0
GO:0003700	DNA-binding transcription factor activity	JUN	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	EGR3	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	STAT3	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	JADE2	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	SMAD6	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	PPRC1	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	KLF3	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	TRERF1	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	LIMA1	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	ELF3	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	ZMYM3	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	MAFF	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	E2F2	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	SOX9	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	PATZ1	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	ZNF367	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	SOX4	2.01E-01	1.0
GO:0003700	DNA-binding transcription factor activity	SLC2A4RG	2.01E-01	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	PLK3	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	DTYMK	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	GADD45B	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	AK4	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	PRPF4B	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	COASY	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	IGF1R	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	HK1	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	KHK	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	WEE1	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	GPRC5A	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	LATS2	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	CCNE2	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	ERBB4	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	CCNG2	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	OAS3	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	PIM1	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	PDK3	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	TPP1	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	NEK2	4.74E-02	1.0
GO:0016772	transferase activity, transferring phosphorus-containing groups	EPHA2	4.74E-02	1.0
GO:0022857	transmembrane transporter activity	STXBP1	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SAT2	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SAT1	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SORL1	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SLC16A14	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	TPCN1	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	P2RX4	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	FXYD3	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	ARL6IP5	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SLC16A6	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SFXN2	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SLC19A1	7.80E-01	1.0
GO:0022857	transmembrane transporter activity	SHANK2	7.80E-01	1.0
GO:0004888	transmembrane signaling receptor activity	FZD7	8.04E-02	1.0
GO:0004888	transmembrane signaling receptor activity	IFNGR2	8.04E-02	1.0
GO:0004888	transmembrane signaling receptor activity	PTCH1	8.04E-02	1.0
GO:0004888	transmembrane signaling receptor activity	PTAFR	8.04E-02	1.0
GO:0004888	transmembrane signaling receptor activity	IL6ST	8.04E-02	1.0
GO:0004888	transmembrane signaling receptor activity	PRLR	8.04E-02	1.0
GO:0004888	transmembrane signaling receptor activity	SHANK2	8.04E-02	1.0
GO:0004888	transmembrane signaling receptor activity	IL17RB	8.04E-02	1.0
GO:0140110	transcription regulator activity	JUN	3.58E-01	1.0
GO:0140110	transcription regulator activity	EGR3	3.58E-01	1.0
GO:0140110	transcription regulator activity	STAT3	3.58E-01	1.0
GO:0140110	transcription regulator activity	JADE2	3.58E-01	1.0
GO:0140110	transcription regulator activity	SGF29	3.58E-01	1.0
GO:0140110	transcription regulator activity	SMAD6	3.58E-01	1.0
GO:0140110	transcription regulator activity	PPRC1	3.58E-01	1.0
GO:0140110	transcription regulator activity	KLF3	3.58E-01	1.0
GO:0140110	transcription regulator activity	TRERF1	3.58E-01	1.0
GO:0140110	transcription regulator activity	LIMA1	3.58E-01	1.0
GO:0140110	transcription regulator activity	ELF3	3.58E-01	1.0
GO:0140110	transcription regulator activity	ZMYM3	3.58E-01	1.0
GO:0140110	transcription regulator activity	MAFF	3.58E-01	1.0
GO:0140110	transcription regulator activity	E2F2	3.58E-01	1.0
GO:0140110	transcription regulator activity	SOX9	3.58E-01	1.0
GO:0140110	transcription regulator activity	PATZ1	3.58E-01	1.0
GO:0140110	transcription regulator activity	ZNF367	3.58E-01	1.0
GO:0140110	transcription regulator activity	SOX4	3.58E-01	1.0
GO:0140110	transcription regulator activity	SLC2A4RG	3.58E-01	1.0
GO:0098772	molecular function regulator	CSF1	1.90E-01	1.0
GO:0098772	molecular function regulator	GDF15	1.90E-01	1.0
GO:0098772	molecular function regulator	RGS16	1.90E-01	1.0
GO:0098772	molecular function regulator	CARD8	1.90E-01	1.0
GO:0098772	molecular function regulator	LIF	1.90E-01	1.0
GO:0098772	molecular function regulator	TBC1D2B	1.90E-01	1.0
GO:0098772	molecular function regulator	BMP7	1.90E-01	1.0
GO:0098772	molecular function regulator	LEMD1	1.90E-01	1.0
GO:0098772	molecular function regulator	MYO1E	1.90E-01	1.0
GO:0098772	molecular function regulator	GPRC5A	1.90E-01	1.0
GO:0098772	molecular function regulator	CCNE2	1.90E-01	1.0
GO:0098772	molecular function regulator	FXYD3	1.90E-01	1.0
GO:0098772	molecular function regulator	CCNG2	1.90E-01	1.0
GO:0098772	molecular function regulator	NEU1	1.90E-01	1.0
GO:0098772	molecular function regulator	RAPGEF1	1.90E-01	1.0
GO:0098772	molecular function regulator	TIMP2	1.90E-01	1.0
GO:0098772	molecular function regulator	TIMP3	1.90E-01	1.0
GO:0098772	molecular function regulator	PHACTR2	1.90E-01	1.0
GO:0098772	molecular function regulator	HBP1	1.90E-01	1.0
GO:0098772	molecular function regulator	CHML	1.90E-01	1.0
GO:0098772	molecular function regulator	TMPO	1.90E-01	1.0
GO:0005215	transporter activity	ATP8B2	8.98E-01	1.0
GO:0005215	transporter activity	STXBP1	8.98E-01	1.0
GO:0005215	transporter activity	SAT2	8.98E-01	1.0
GO:0005215	transporter activity	SAT1	8.98E-01	1.0
GO:0005215	transporter activity	SORL1	8.98E-01	1.0
GO:0005215	transporter activity	SLC16A14	8.98E-01	1.0
GO:0005215	transporter activity	TPCN1	8.98E-01	1.0
GO:0005215	transporter activity	P2RX4	8.98E-01	1.0
GO:0005215	transporter activity	FXYD3	8.98E-01	1.0
GO:0005215	transporter activity	ARL6IP5	8.98E-01	1.0
GO:0005215	transporter activity	SLC16A6	8.98E-01	1.0
GO:0005215	transporter activity	SFXN2	8.98E-01	1.0
GO:0005215	transporter activity	SLC19A1	8.98E-01	1.0
GO:0005215	transporter activity	SHANK2	8.98E-01	1.0
GO:0003677	DNA binding	TIPIN	2.57E-01	1.0
GO:0003677	DNA binding	KDM3A	2.57E-01	1.0
GO:0003677	DNA binding	JUN	2.57E-01	1.0
GO:0003677	DNA binding	NCAPH2	2.57E-01	1.0
GO:0003677	DNA binding	STAT3	2.57E-01	1.0
GO:0003677	DNA binding	ARID5B	2.57E-01	1.0
GO:0003677	DNA binding	JADE2	2.57E-01	1.0
GO:0003677	DNA binding	FOS	2.57E-01	1.0
GO:0003677	DNA binding	SMAD6	2.57E-01	1.0
GO:0003677	DNA binding	KLF3	2.57E-01	1.0
GO:0003677	DNA binding	TRERF1	2.57E-01	1.0
GO:0003677	DNA binding	LIMA1	2.57E-01	1.0
GO:0003677	DNA binding	DBP	2.57E-01	1.0
GO:0003677	DNA binding	HNRNPDL	2.57E-01	1.0
GO:0003677	DNA binding	MAFF	2.57E-01	1.0
GO:0003677	DNA binding	CREB3L2	2.57E-01	1.0
GO:0003677	DNA binding	E2F2	2.57E-01	1.0
GO:0003677	DNA binding	TPP1	2.57E-01	1.0
